"""การเรียนรู้จากประสาทการรับรู้"" (Perceptual Learning) คืออะไร?",Perceptual Learning เป็น การเปลี่ยนแปลงที่ยั่งยืนในระบบประสาทสัมผัสของเรา ทำให้เราสามารถรับรู้ แยกแยะ และตีความข้อมูลจากสิ่งเร้าภายนอกได้อย่างมีประสิทธิภาพมากขึ้นจากการฝึกฝน ประสบการณ์ หรือการได้รับข้อมูลซ้ำๆ
ลักษณะเด่นที่สำคัญของ Perceptual Learning มีอะไรบ้าง?,"ลักษณะเด่นของ Perceptual Learning ประกอบด้วย ความจำเพาะต่อภารกิจ (Task Specificity), การคงอยู่ (Durability), เกิดขึ้นได้ในผู้ใหญ่ และเป็นรากฐานของความเชี่ยวชาญ (Expertise)"
ประสาทสัมผัสหลักในการรับรู้ข้อมูลของมนุษย์คืออะไร และมีสัดส่วนประมาณเท่าไหร่?,การมองเห็นถือเป็นประสาทสัมผัสหลักในการรับรู้ข้อมูล โดยมีสัดส่วนประมาณ 80% ของข้อมูลทั้งหมดที่เราได้รับ
"""การผสานรวมประสาทสัมผัส"" (Multisensory Integration) คืออะไร และมีข้อดีอย่างไร?","การผสานรวมประสาทสัมผัสคือการที่ สมองรับและประมวลผลข้อมูลจากประสาทสัมผัสที่แตกต่างกันพร้อมกัน และเชื่อมโยงข้อมูลเหล่านั้นเข้าด้วยกันเป็นประสบการณ์เดียวที่สมบูรณ์และมีความหมาย ข้อดีคือ เพิ่มความแข็งแกร่งของข้อมูล, ลดความกำกวม, สร้างความจำที่คงทนกว่า และกระตุ้นการเรียนรู้แบบองค์รวม"
กลไกสำคัญที่ขับเคลื่อนการสร้างความรู้ถาวร ได้แก่อะไรบ้าง?,"กลไกสำคัญที่ขับเคลื่อนการสร้างความรู้ถาวร ได้แก่ การทบทวน (Review), การแสดงออก/การดึงความรู้ (Elaboration / Retrieval Practice) และ การทำซ้ำ (Repetition)"
หัวข้อที่ 4,คุณลักษณะสำคัญของ Active Learning
"แนวคิด ""ผู้เรียนเป็นศูนย์กลาง"" ใน Active Learning มีความหมายว่าอย่างไร?","""ผู้เรียนเป็นศูนย์กลาง"" (Learner-Centered Approach) คือการจัดการเรียนรู้ที่ให้ความสำคัญกับ ผู้เรียนในฐานะผู้มีบทบาทหลักในการเรียนรู้ ผู้เรียนเป็นผู้สำรวจ สร้างองค์ความรู้ และพัฒนาตนเองผ่านประสบการณ์โดยตรง"
ในแนวทางผู้เรียนเป็นศูนย์กลาง บทบาทของผู้สอนเปลี่ยนแปลงไปอย่างไร?,"บทบาทของผู้สอนเปลี่ยนแปลงจาก ""ผู้ถ่ายทอดเนื้อหา"" มาเป็น ""ผู้อำนวยความสะดวก"" (facilitator), ""พี่เลี้ยง"" (mentor) และ ""ผู้นำ"" (guide) ผู้สอนทำหน้าที่ออกแบบกิจกรรมที่ส่งเสริมการเรียนรู้เชิงรุก และสร้างสภาพแวดล้อมที่ปลอดภัย"
"""การปฏิสัมพันธ์"" มีความสำคัญต่อ Active Learning อย่างไร?",การปฏิสัมพันธ์ระหว่างผู้เรียนและผู้สอนในทุกขั้นตอนของกิจกรรมการเรียนรู้เป็นปัจจัยสำคัญที่ส่งผลต่อคุณภาพของกระบวนการเรียนรู้ ช่วยให้เกิดการแลกเปลี่ยนมุมมอง ความคิด และประสบการณ์อย่างหลากหลาย นำไปสู่การสร้างองค์ความรู้ร่วมกัน
"Active Learning ส่งเสริม ""การเรียนรู้เชิงประสบการณ์"" อย่างไร และโมเดลของ David Kolb เกี่ยวข้องอย่างไร?","Active Learning เน้นการเรียนรู้เชิงประสบการณ์โดยให้ผู้เรียนได้ ลงมือปฏิบัติจริง เพื่อให้เกิดการเรียนรู้ผ่านประสบการณ์ตรง David Kolb เสนอวงจรการเรียนรู้ 4 ขั้นตอน ได้แก่ การมีประสบการณ์ตรง, การสะท้อนคิด, การสรุปแนวคิด และการท"
"Active Learning กระตุ้น ""การคิด"" ในระดับใดบ้าง? ","Active Learning กระตุ้นการคิดในระดับที่ลึกซึ้ง โดยเฉพาะอย่างยิ่ง การคิดวิเคราะห์ (analytical thinking), การคิดวิพากษ์ (critical thinking), และการคิดเชิงระบบ (systematic thinking) กิจกรรมอย่างการระดมสมอง การสืบค้นข้อมูล"
หัวข้อที่ 5,ตัวอย่างกิจกรรม Active Learning
"กิจกรรม ""การเรียนรู้แบบแลกเปลี่ยนความคิด"" (Think-Pair-Share) มีขั้นตอนอย่างไร? คำตอบ: ""การเรียนรู้แบบแลกเปลี่ยนความคิด"" คือการให้ผู้เรียน คิดเกี่ยวกับหัวข้อที่กำหนดของแต่ละคนในเวลาที่กำหนด (Think) จากนั้นจึงไปแลกเปลี่ยนกับเพื่อนร่วมชั้นเรียน (Pair) เมื่อได้ข้อสรุปแล้วจึงนำเสนอความคิดเห็นต่อผู้เรียนทั้งหมด (Share)","""การเรียนรู้แบบแลกเปลี่ยนความคิด"" คือการให้ผู้เรียน คิดเกี่ยวกับหัวข้อที่กำหนดของแต่ละคนในเวลาที่กำหนด (Think) จากนั้นจึงไปแลกเปลี่ยนกับเพื่อนร่วมชั้นเรียน (Pair) เมื่อได้ข้อสรุปแล้วจึงนำเสนอความคิดเห็นต่อผู้เรียนทั้งหมด"
"กิจกรรม ""การเรียนรู้แบบกระบวนการวิจัย"" (Mini-research proposals or project) เน้นอะไรบ้าง? คำตอบ: กิจกรรมนี้คือการเรียนรู้ที่ให้ผู้เรียน สรุปความรู้หรือสร้างผลงาน และสะท้อนความคิดในสิ่งที่ได้เรียนรู้ หรืออาจเรียกว่าการสอนแบบโครงงาน (project-based learning) หรือ การสอนแบบใช้ปัญหาเป็นฐาน (problem-based learning)",กิจกรรมนี้คือการเรียนรู้ที่ให้ผู้เรียน สรุปความรู้หรือสร้างผลงาน และสะท้อนความคิดในสิ่งที่ได้เรียนรู้ หรืออาจเรียกว่าการสอนแบบโครงงาน (project-based learning) หรือ การสอนแบบใช้ปัญหาเป็นฐาน (problem-based le
"""การเรียนรู้ผ่านบทบาทสมมติ"" (Role Playing / Simulation) มีจุดประสงค์อะไร? คำตอบ: กิจกรรมนี้ให้ผู้เรียนได้รับบทบาทในสถานการณ์จำลอง แล้วแสดงบทบาทนั้นออกมา เพื่อ ฝึกคิดวิเคราะห์ แก้ปัญหา และเข้าใจสถานการณ์ได้ลึกซึ้ง เช่น การจำลองสถานการณ์ประชุมสภานักเรียน",กิจกรรมนี้ให้ผู้เรียนได้รับบทบาทในสถานการณ์จำลอง แล้วแสดงบทบาทนั้นออกมา เพื่อ ฝึกคิดวิเคราะห์ แก้ปัญหา และเข้าใจสถานการณ์ได้ลึกซึ้ง เช่น การจำลองสถานการณ์ประชุมสภานักเรียน
"กิจกรรม ""การเรียนรู้ผ่านการตั้งคำถาม"" (Question Formulation Technique - QFT) ช่วยส่งเสริมอะไร? คำตอบ: กิจกรรมนี้เปิดโอกาสให้ผู้เรียนเป็นคน ตั้งคำถามเกี่ยวกับเนื้อหาหรือหัวข้อที่เรียนเอง เพื่อสร้างการมีส่วนร่วม และกระตุ้นการคิดเชิงวิพากษ์",กิจกรรมนี้เปิดโอกาสให้ผู้เรียนเป็นคน ตั้งคำถามเกี่ยวกับเนื้อหาหรือหัวข้อที่เรียนเอง เพื่อสร้างการมีส่วนร่วม และกระตุ้นการคิดเชิงวิพากษ์
"กิจกรรม ""การเรียนรู้ผ่านเทคโนโลยีดิจิทัล"" (Digital Tools Integration) มีตัวอย่างเครื่องมืออะไรบ้าง? ","ตัวอย่างเครื่องมือดิจิทัลที่ใช้ใน Active Learning ได้แก่ Kahoot!, Quizizz, Padlet, Mentimeter หรือ Google Jamboard เพื่อกระตุ้นให้ผู้เรียนตอบคำถาม แสดงความคิดเห็น หรือระดมสมองแบบเรียลไทม์"
หัวข้อที่ 6,ประโยชน์ของ Active Learning
Active Learning ช่วยส่งเสริมการจดจำความรู้ได้อย่างไร? ,การเรียนรู้ที่กระตือรือร้นจะ ส่งเสริมการจดจำความรู้ในระยะยาว เนื่องจากนักเรียนจะพัฒนาความเข้าใจเนื้อหาหลักสูตรที่ลึกซึ้งยิ่งขึ้น มากกว่าการท่องจำข้อเท็จจริงและข้อมูลระดับผิวเผินเพียงอย่างเดียว
Active Learning สร้างโอกาสในการประเมินและแก้ไขความเข้าใจผิดของนักเรียนได้อย่างไร?,การเรียนรู้แบบมีส่วนร่วมช่วยให้ผู้เรียน แก้ไขความเข้าใจผิดเกี่ยวกับเนื้อหาหลักสูตร เนื่องจากผู้เรียนจะได้รับผลตอบรับเกี่ยวกับความเข้าใจมากขึ้นตลอดทั้งบทเรียน ทั้งจากครูและเพื่อนร่วมชั้น
Active Learning ส่งเสริมการพัฒนาทักษะอะไรบ้าง? คำตอบ: การเรียนรู้ที่กระตือรือร้นส่งเสริม การพัฒนาทักษะการคิดขั้นสูง (HOTS) เช่น การแก้ปัญหา การคิดเชิงวิพากษ์ การวิเคราะห์ การประเมิน การสังเคราะห์ และอภิปัญญา (การตระหนักรู้ในกระบวนการคิดของตนเอง),การเรียนรู้ที่กระตือรือร้นส่งเสริม การพัฒนาทักษะการคิดขั้นสูง (HOTS) เช่น การแก้ปัญหา การคิดเชิงวิพากษ์ การวิเคราะห์ การประเมิน การสังเคราะห์ และอภิปัญญา (การตระหนักรู้ในกระบวนการคิดของตนเอง)
Active Learning เพิ่มแรงจูงใจในการเรียนรู้ให้กับนักเรียนได้อย่างไร? ,ความปรารถนาที่จะเรียนรู้ของนักเรียนจะเพิ่มขึ้นเมื่อพวกเขารู้ว่าพวกเขาสามารถ มีบทบาทเชิงรุกในกระบวนการเรียนรู้ แทนที่จะฟังการตีความเนื้อหาหลักสูตรของอาจารย์อย่างเฉยเมย
Active Learning ช่วยส่งเสริมการทำงานร่วมกันอย่างไร?,เทคนิคการเรียนรู้แบบมีส่วนร่วมหลายอย่างส่งเสริมประสบการณ์การเรียนรู้ที่เกี่ยวข้องกับการ มีส่วนร่วมกับนักเรียนคนอื่นๆ ไม่ว่าจะเป็นกลุ่มเล็กๆ หรือกับทั้งชั้นเรียน ซึ่งช่วยให้นักเรียนสามารถแลกเปลี่ยนความคิดและคำถาม ทำให้เข้าใจแนวคิดที่ซับซ้อนได้ง่ายขึ้น
หัวข้อที่ 7,บทบาทของผู้สอนใน Active Learning
ใน Active Learning ผู้สอนมีบทบาทสำคัญอะไรบ้าง?,"ผู้สอนใน Active Learning มีบทบาทสำคัญอย่างยิ่งในการ ออกแบบกิจกรรมที่กระตุ้นการคิด, จัดกระบวนการเรียนรู้แบบมีส่วนร่วม, เป็นผู้อำนวยความสะดวก (Facilitator), ผู้ติดตามและให้ฟีดแบ็ก และผู้นำการประเมินแบบพัฒนา (Formative Assessment)"
ผู้อำนวยความสะดวก (Facilitator) ใน Active Learning มีหน้าที่อย่างไร?,ในฐานะผู้อำนวยความสะดวก ผู้สอน ไม่บอกคำตอบทันที แต่ตั้งคำถามชวนคิดและเปิดโอกาสให้ผู้เรียนค้นหาคำตอบด้วยตนเอง
การประเมินผลใน Active Learning แตกต่างจากการประเมินแบบดั้งเดิมอย่างไร?,ผู้สอนจะนำการประเมินแบบพัฒนา (Formative Assessment) มาใช้ โดย ประเมินผู้เรียนจากการมีส่วนร่วม ความคิดสร้างสรรค์ และกระบวนการมากกว่าคำตอบสุดท้าย
ผู้สอนควรสร้างบรรยากาศในชั้นเรียน Active Learning อย่างไร?,ผู้สอนควร สร้างบรรยากาศของการมีส่วนร่วม การอภิปราย และการเจรจาโต้ตอบที่ส่งเสริมให้ผู้เรียนมีปฏิสัมพันธ์ที่ดี กับผู้สอนและเพื่อนในชั้นเรียน
นอกจากการจัดกิจกรรมแล้ว ผู้สอนใน Active Learning ยังมีบทบาทสำคัญอะไรอีกบ้าง?,"ผู้สอนยังต้อง วางแผนเกี่ยวกับเวลาในการจัดการเรียนการสอนอย่างชัดเจน, จัดกิจกรรมการเรียนการสอนให้ท้าทายและหลากหลาย และต้องใจกว้าง ยอมรับความสามารถในการแสดงออกและความคิดเห็นของผู้เรียน"
หัวข้อที่ 8,การจัดการเรียนรู้แบบ Active Learning และการจัดการเรียนรู้แบบ ผู้สอนเป็นศูนย์กลาง
การจัดการเรียนรู้แบบผู้สอนเป็นศูนย์กลาง (Teacher-Centered Learning) คืออะไร?,การเรียนรู้แบบผู้สอนเป็นศูนย์กลาง คือแนวทางการจัดการเรียนรู้ที่ ผู้สอนมีบทบาทหลักในทุกขั้นตอนของการสอน ได้แก่ การกำหนดเป้าหมาย การออกแบบกิจกรรม การควบคุมชั้นเรียน การสรุปสาระสำคัญ และการประเมินผล โดยผู้เรียนทำหน้าที่เป็นผู้รับข้อมูล
ลักษณะเด่นและข้อจำกัดของการเรียนรู้แบบผู้สอนเป็นศูนย์กลางคืออะไร?,ลักษณะเด่นคือ ความเป็นระบบ มีระเบียบแบบแผน ช่วยให้ผู้เรียนเข้าใจเนื้อหาได้ตรงประเด็น และเหมาะสำหรับหัวข้อที่เน้นการท่องจำ ข้อจำกัดคือ ผู้เรียนอาจมีส่วนร่วมในกระบวนการเรียนรู้น้อย ขาดการฝึกคิดวิเคราะห์ หรือทักษะการทำงานร่วมกับผู้อื่น
Active Learning แตกต่างจากการเรียนรู้แบบผู้สอนเป็นศูนย์กลางอย่างไรในแง่ของบทบาทผู้เรียน?,ใน Active Learning ผู้เรียนจะถูกเปลี่ยนบทบาทจาก ผู้รับความรู้ (receive) ไปสู่การมีส่วนร่วมในการสร้างความรู้ (co-creators) ในขณะที่การเรียนรู้แบบผู้สอนเป็นศูนย์กลาง ผู้เรียนทำหน้าที่เป็นเพียงผู้รับข้อมูลและทำตามคำสั่งของผู้สอนอย่างเคร่งครัด
ผู้สอนสามารถผสมผสาน Active Learning กับแนวคิดผู้สอนเป็นศูนย์กลางในการจัดการเรียนรู้ได้อย่างไร?,ผู้สอนสามารถใช้แนวคิด “ผู้สอนเป็นศูนย์กลาง” เพื่อกำหนดกรอบของเนื้อหา และใช้ “Active Learning” เป็นเครื่องมือในการกระตุ้นให้ผู้เรียนมีส่วนร่วม
ยกตัวอย่างการผสมผสาน Active Learning กับแนวคิดผู้สอนเป็นศูนย์กลางในห้องเรียน?,ตัวอย่างเช่น ในบทเรียนที่ยาก เช่น คณิตศาสตร์ ผู้สอนสามารถใช้ การอธิบายเนื้อหาสำคัญ (ผู้สอนเป็นศูนย์กลาง) แล้วต่อด้วยการให้ผู้เรียนฝึกทำโจทย์ในกลุ่ม (Active Learning) หรือในวิชาภาษาอังกฤษ อาจเริ่มด้วยการอธิบายไวยากรณ์ แล้วให้ผู้เรียนทำกิจกรรม role-play หรือโต้วาทีตามหัวข้อ
หัวข้อที่ 9,ความสัมพันธ์ระหว่าง Active Learning กับ กรวยประสบการณ์
กรวยประสบการณ์ (Cone of Experience) คืออะไร และใครเป็นผู้พัฒนา?,กรวยประสบการณ์ หรือ Cone of Experience คือ ภาพของการจำลองการเรียนรู้ที่เปรียบเทียบการเรียนรู้แต่ละอย่าง โดยการจัดเรียงลำดับในกรวยไม่ได้ขึ้นอยู่กับความยากแต่ขึ้นอยู่กับสิ่งที่เรียนรู้ และจำนวนของประสาทสัมผัสที่เกี่ยวข้อง พัฒนาโดย เอดการ์ เดล นักศึกษาศาสตร์ชาวอเมริกัน
ตามหลักกรวยประสบการณ์ การเรียนรู้แบบใดที่ให้ผลการจดจำสูงสุด?,ตามหลักกรวยประสบการณ์ การเรียนรู้ผ่านการลงมือทำ (Learning by doing) เป็นระดับการจดจำที่จำได้มากและยาวนานที่สุด เพราะเป็นระดับที่ผู้เรียนได้ใช้ประสาทสัมผัสเยอะที่สุด ผลการเรียนรู้จะคงอยู่ถึง 90% เมื่อเวลาผ่านไป
การเรียนรู้เชิงรับ (Passive Learning) ตามกรวยประสบการณ์ มีผลการเรียนรู้เป็นอย่างไรเมื่อเปรียบเทียบกับ Active Learning?,การเรียนรู้เชิงรับ เช่น การอ่านหรือการฟังบรรยายเพียงอย่างเดียว ผู้เรียนจะจดจำได้เพียง 10-20% เท่านั้น ในขณะที่ Active Learning ที่มีการลงมือทำจะจดจำได้ถึง 90%
"Active Learning สอดคล้องกับหลักการของกรวยประสบการณ์ที่เน้น ""ประสบการณ์รูปธรรม"" อย่างไร?","Active Learning ส่งเสริมให้ผู้เรียนมีส่วนร่วมในการทำกิจกรรมต่างๆ เช่น การทดลอง การแก้ปัญหา การจำลองสถานการณ์ การอภิปราย ซึ่งเป็นการเรียนรู้แบบ ""ลงมือทำ"" โดยตรง ทำให้ผู้เรียนได้สร้างองค์ความรู้ด้วยตนเอง และสอดคล้องกับหลักการของกรวยประสบการณ์ที่เน้นประสบการณ์รูปธรรม"
"นอกจากการลงมือทำแล้ว Active Learning ยังสนับสนุน ""การเรียนรู้ผ่านการคิดและสะท้อน"" ซึ่งสัมพันธ์กับกรวยประสบการณ์อย่างไร?",แม้กรวยประสบการณ์จะเน้นที่ระดับประสบการณ์ แต่การเรียนรู้จากประสบการณ์เหล่านั้นจะสมบูรณ์ได้ด้วยการสะท้อนคิด Active Learning มักจะรวมกิจกรรมที่ให้ผู้เรียนได้ ทบทวนสิ่งที่ได้เรียนรู้ อภิปรายผล สรุปประเด็น หรือเขียนบันทึกการเรียนรู้ ซึ่งช่วยให้ประสบการณ์ที่ได้รับถูกประมวลผลและกลายเป็นความรู้ที่คงทน
หัวข้อที่ 10,Active Learning กับ Bloom’s Taxonomy
"""Bloom’s Taxonomy"" คืออะไร และใครเป็นผู้พัฒนาแนวคิดนี้?","Bloom’s Taxonomy คือ การจำแนกจุดมุ่งหมายทางการศึกษา ออกเป็น 3 ด้าน ได้แก่ ด้านพุทธิพิสัย (สติปัญญา), ด้านจิตพิสัย (จิตใจ), และด้านทักษะพิสัย (ร่างกาย) พัฒนาโดย Benjamin S. Bloom นักการศึกษาชาวอเมริกัน"
Bloom’s Taxonomy ด้านพุทธิพิสัย (Cognitive Dimension) เกี่ยวข้องกับพฤติกรรมอะไรบ้าง?,ด้านพุทธิพิสัย (Cognitive Dimension) หมายถึงพฤติกรรมเกี่ยวกับสติปัญญา ความคิด ความสามารถในการคิดเรื่องราวจนสามาถจดจำประสบการณ์ต่างๆ ได้ เข้าใจ จนนำไปประยุกต์ใช้ คิดวิเคราะห์เพื่อประเมินค่า และสร้างสรรค์ต่อยอดได้อย่างมีประสิทธิภาพ
Active Learning สอดคล้องกับ Bloom’s Taxonomy อย่างไร?,การจัดการเรียนรู้แบบ Active Learning สอดคล้องตามทฤษฎีของบลูม โดยเน้นการพัฒนาผู้เรียนให้เกิดการคิด ลงมือทำ เข้าใจ และปรับใช้ ซึ่งส่งผลต่อพฤติกรรมที่สอดคล้องกับทั้ง 3 ด้านของบลูม ได้แก่ ด้านสติปัญญา ด้านร่างกาย และด้านจิตใจ
Active Learning ส่งเสริมทักษะการคิดขั้นสูงใน Bloom’s Taxonomy อย่างไร?,Active Learning เป็นกระบวนการจัดการเรียนรู้ที่เน้นกระบวนการคิดขั้นสูง ผู้เรียนมีการวิเคราะห์ สังเคราะห์ และการประเมินค่าจากสิ่งที่ได้รับจากกิจกรรมการเรียนรู้ รวมถึงการสร้างสรรค์สิ่งต่างๆ ซึ่งตรงกับระดับสูงของ Bloom's Taxonomy
"ความสัมพันธ์ระหว่าง Active Learning กับ ""สมรรถนะ"" (Competency) เป็นอย่างไร?",Active Learning คือ วิธีการ หรือกระบวนการเรียนรู้ที่จะนำพาผู้เรียนไปสู่สมรรถนะ โดยสมรรถนะประกอบไปด้วย 3 ส่วน คือ ความรู้ ทักษะ ทัศนคติ และคุณค่า ที่จะต้องร้อยเรียงเข้าด้วยกัน Active Learning จึงเป็นการออกแบบแผนการจัดการเรียนรู้ให้ผู้เรียนได้นำสิ่งเหล่านี้มาลงมือปฏิบัติผ่านกิจกรรมหลากหลายรูปแบบ เพื่อบรรลุเป้าหมายการเรียนรู้อย่างมีประสิทธิภาพ
หัวข้อที่ 11,การออกแบบกิจกรรมการเรียนรู้ให้เป็น Active Learning
แนวคิดหลักใดบ้างที่ใช้ในการออกแบบกิจกรรมการเรียนรู้เชิงรุก (Active Learning)?,"การออกแบบกิจกรรมการเรียนรู้เชิงรุกมีเป้าหมายเพื่อให้ผู้สอนจัดกิจกรรมที่เน้นให้ผู้เรียนลงมือปฏิบัติ เรียนรู้ด้วยตนเอง โดยมีแนวคิดทฤษฎีที่เกี่ยวข้อง ได้แก่ แนวคิดของ บลูม (Bloom’s Taxonomy), สี่เสาหลักทางการศึกษา (Four Pillars of Education) และ หลักการพัฒนาทักษะ 4 H (Head, Heart, Hand, Health)"
"""สี่เสาหลักของการศึกษา"" (Four Pillars of Education) ของยูเนสโกประกอบด้วยอะไรบ้าง?","สี่เสาหลักของการศึกษาของยูเนสโกประกอบด้วยการเรียนรู้ 4 ลักษณะ ได้แก่ การเรียนเพื่อรู้ (Learning to know), การเรียนรู้เพื่อปฏิบัติได้จริง (Learning to do), การเรียนรู้เพื่อที่จะอยู่ร่วมกัน และการเรียนรู้ที่จะอยู่ร่วมกับผู้อื่น (Learning to Live together) และการเรียนรู้เพื่อชีวิต (Learning to be)"
